settlement_id,settled_amount,settlement_date,reference_note,batch_id
STL1044,2202.91,2026-08-26,pay_U4185x55,
STL1048,1992.22,2026-08-09,pay_Q2269x11047,
STL1037,1116.48,2026-08-11,pay_B2776x45,
STL1028,1020.58,2026-08-19,pay_Y5956x33,
STL1033,821.68,2026-08-07,pay_T1590x38,
STL1034,881.01,2026-08-12,,
STL1014,4877.66,2026-08-22,pay_M8177x15,
STL1029,4078.28,2026-08-11,pay_X2697x34,
STL1021,2424.86,2026-08-04,pay_Q2604x22,
STL1050,1163.22,2026-08-18,pay_C3267x11049,
STL1011,2047.11,2026-08-08,pay_T9689x11,
STL1024,3030.4,2026-08-18,pay_S3579x27,
STL1030,3770.41,2026-08-07,pay_J5616x35,
STL1001,4350.61,2026-08-18,pay_J8428x0,
STL1046,3115.88,2026-08-20,pay_P9976x58,
STL1026,1750.31,2026-08-04,pay_A8508x31,
STL1032,1858.38,2026-08-11,pay_W5291x37,
STL1020,1461.34,2026-08-09,pay_T8350x21,
STL1047,20752.21,2026-08-23,pay_Z8019x5;pay_T3060x13;pay_Z9883x26;pay_P5065x41;pay_N6378x43;pay_X9785x44;pay_K5700x51;pay_V6491x53,BATCH-200
STL1045,988.62,2026-08-04,pay_D7965x56,
STL1012,383.71,2026-08-16,pay_K4923x12,
STL1009,1870.34,2026-08-12,pay_P3591x9,
STL1040,616.3,2026-08-13,pay_V6143x48,
STL1039,3613.13,2026-08-03,,
STL1007,3232.76,2026-08-17,pay_V2040x7,
STL1019,2187.54,2026-08-04,pay_X2612x20,
STL1041,1727.34,2026-08-16,pay_L7592x49,
STL1022,4630.65,2026-08-13,pay_F7658x23,
STL1042,2264.72,2026-08-15,pay_X3851x50,
STL1038,3086.2,2026-08-19,pay_D7311x46,
STL1008,4280.48,2026-08-03,,
STL1010,3823.0,2026-08-19,pay_D5889x10,
STL1036,4311.2,2026-08-18,pay_H4269z42,
STL1013,2724.47,2026-08-22,pay_P4470x14,
STL1016,3217.19,2026-08-14,pay_C1514x17,
STL1043,2328.86,2026-08-08,pay_S8752x52,
STL1003,2460.26,2026-08-10,pay_W4598x2,
STL1005,3363.66,2026-08-15,pay_W,
STL1015,1349.3,2026-08-12,pay_A4,
STL1023,1068.42,2026-08-03,pay_N5345z24,
STL1004,4141.66,2026-08-13,pay_N5386x3,
STL1035,771.38,2026-08-20,pay_P3532x40,
STL1002,1258.99,2026-08-11,,
STL1031,2557.16,2026-08-03,pay_C7939x36,
STL1006,4962.49,2026-08-06,pay_S9085x6,
STL1017,1600.8,2026-08-19,pay_G9834x18,
STL1027,2812.75,2026-08-19,pay_J3170z32,
STL1018,3967.77,2026-08-16,pay_G2545x19,
STL1025,3047.83,2026-08-22,pay_C7868x29,
STL1049,2226.57,2026-08-08,pay_J6502x11048,
