order_id,true_settlement_id,scenario
ORD1001,STL1001,delayed
ORD1002,STL1002,missing_ref
ORD1003,STL1003,clean_match
ORD1004,STL1004,clean_match
ORD1005,STL1005,garbled_ref
ORD1007,STL1006,clean_match
ORD1008,STL1007,duplicate_failed
ORD1009,NONE,duplicate_failed_twin
ORD1010,STL1008,missing_ref
ORD1011,STL1009,clean_match
ORD1012,STL1010,fee_variation
ORD1013,STL1011,clean_match
ORD1014,STL1012,delayed
ORD1016,STL1013,clean_match
ORD1017,STL1014,clean_match
ORD1018,STL1015,garbled_ref
ORD1019,STL1016,delayed
ORD1020,STL1017,fee_variation
ORD1021,STL1018,clean_match
ORD1022,STL1019,fee_variation
ORD1023,STL1020,clean_match
ORD1024,STL1021,clean_match
ORD1025,STL1022,delayed
ORD1026,STL1023,garbled_ref
ORD1027,NONE,orphan_settlement
ORD1029,STL1024,clean_match
ORD1030,NONE,refunded
ORD1031,STL1025,clean_match
ORD1032,NONE,refunded
ORD1033,STL1026,clean_match
ORD1034,STL1027,garbled_ref
ORD1035,STL1028,clean_match
ORD1036,STL1029,clean_match
ORD1037,STL1030,duplicate_failed
ORD1038,NONE,duplicate_failed_twin
ORD1039,STL1031,fee_variation
ORD1040,STL1032,delayed
ORD1041,STL1033,fee_variation
ORD1042,STL1034,missing_ref
ORD1043,STL1035,clean_match
ORD1045,STL1036,garbled_ref
ORD1048,STL1037,duplicate_failed
ORD1049,NONE,duplicate_failed_twin
ORD1050,STL1038,clean_match
ORD1051,STL1039,missing_ref
ORD1052,STL1040,clean_match
ORD1053,STL1041,clean_match
ORD1054,STL1042,fee_variation
ORD1056,STL1043,clean_match
ORD1058,NONE,refunded
ORD1059,STL1044,delayed
ORD1060,STL1045,clean_match
ORD1061,NONE,orphan_settlement
ORD1062,STL1046,clean_match
ORD1063,NONE,orphan_settlement
ORD1006,STL1047,batched
ORD1015,STL1047,batched
ORD1028,STL1047,batched
ORD1044,STL1047,batched
ORD1046,STL1047,batched
ORD1047,STL1047,batched
ORD1055,STL1047,batched
ORD1057,STL1047,batched
